Date,Harbin Gong Da High-Tech Enterprise Development Co Ltd
20151123,159.35813346619534
20151124,160.00627745819705
20151125,152.60774614011774
20151126,144.03126338309087
20151127,139.69676087356822
20151128,139.69676087356822
20151129,139.69676087356822
20151130,132.9095456800867
20151201,146.5556285262234
20151202,156.02707469521607
20151203,148.65955921958988
20151204,142.62316384499687
20151205,142.62316384499687
20151206,142.62316384499687
20151207,138.96146471278763
20151208,131.97999261084703
20151209,130.71150765609772
20151210,133.75785934712465
20151211,135.6809477576548
20151212,135.6809477576548
20151213,135.6809477576548
20151214,140.2489308044291
20151215,134.08949321358034
20151216,133.7683842838427
20151217,134.24175357393744
20151218,137.0662142050166
20151219,137.0662142050166
20151220,137.0662142050166
20151221,135.6384160954248
20151222,134.9747542274274
20151223,138.1417570379326
20151224,144.9833243857824
20151225,143.59305126968007
20151226,143.59305126968007
20151227,143.59305126968007
20151228,141.79259262721905
20151229,147.49946418344175
20151230,146.6316276806157
20151231,146.61763439614487
20160101,146.54989425788207
20160102,146.54989425788207
20160103,146.54989425788207
20160104,157.30330086514192
20160105,168.63370246520952
20160106,169.354036540425
20160107,181.47756998215146
20160108,183.50711684530046
20160109,183.50711684530046
20160110,183.50711684530046
20160111,197.2444815718425
20160112,195.60244626965596
20160113,206.10339351716578
20160114,199.10576077142468
20160115,203.51673319613
20160116,203.51673319613
20160117,203.51673319613
20160118,194.68852294989125
20160119,187.6262507768905
20160120,189.51525354658548
20160121,193.0856522807102
20160122,186.79840071856563
20160123,186.79840071856563
20160124,186.79840071856563
20160125,189.74797203658144
20160126,203.74910769388947
20160127,210.37891758811242
20160128,219.39925801014147
20160129,214.66585018321243
20160130,214.66585018321243
20160131,214.66585018321243
20160201,220.14367632676485
20160202,211.7708016213375
20160203,208.1480277755918
20160204,202.44225412443942
20160205,204.25037412738752
20160206,204.25037412738752
20160207,204.25037412738752
20160208,204.25037412738752
20160209,204.25037412738752
20160210,204.25037412738752
20160211,204.25037412738752
20160212,204.25037412738752
20160213,204.25037412738752
20160214,204.25037412738752
20160215,201.53790734709233
20160216,196.24467217257072
