Date,Goldman Sachs Group Inc/The
20061013,304.16909258249353
20061014,304.16909258249353
20061015,304.16909258249353
20061016,298.9467205542346
20061017,305.04876957895334
20061018,308.47764373281984
20061019,316.6788264637618
20061020,319.35852722594984
20061021,319.35852722594984
20061022,319.35852722594984
20061023,305.538530905879
20061024,291.6318127701169
20061025,290.1002112044596
20061026,276.8554097946949
20061027,292.1781081693229
20061028,292.1781081693229
20061029,292.1781081693229
20061030,286.47161919288897
20061031,282.6217333345683
20061101,304.60560363684544
20061102,294.1700163973077
20061103,295.9391051018049
20061104,295.9391051018049
20061105,295.9391051018049
20061106,289.35373597667893
20061107,293.46829063140706
20061108,294.7048526829143
20061109,307.45244115867473
20061110,298.33043450409485
20061111,298.33043450409485
20061112,298.33043450409485
20061113,297.3679590420578
20061114,290.1989775438225
20061115,283.53240994061366
20061116,272.7770800870657
20061117,275.77747868045844
20061118,275.77747868045844
20061119,275.77747868045844
20061120,268.66892147951376
20061121,261.5412834387952
20061122,253.96235944043073
20061123,253.96235944043073
20061124,255.2468621348205
20061125,255.2468621348205
20061126,255.2468621348205
20061127,276.94040013125283
20061128,267.03175569440714
20061129,272.26707848032805
20061130,266.26260156699277
20061201,269.8711912271684
20061202,269.8711912271684
20061203,269.8711912271684
20061204,255.9217998901105
20061205,252.91186245812045
20061206,243.88409692833955
20061207,257.886550604552
20061208,245.66980062098287
20061209,245.66980062098287
20061210,245.66980062098287
20061211,253.23965048120925
20061212,292.6903790927514
20061213,298.43313772798746
20061214,294.2863037057991
20061215,296.07109337417154
20061216,296.07109337417154
20061217,296.07109337417154
20061218,285.7851005214868
20061219,293.78887382607167
20061220,293.435436377581
20061221,302.5811455955275
20061222,301.66414917619494
20061223,301.66414917619494
20061224,301.66414917619494
20061225,301.66414917619494
20061226,298.21859913482314
20061227,296.37423172237357
20061228,300.12372583957944
20061229,299.2490531757911
20061230,299.2490531757911
20061231,299.2490531757911
20070101,306.6772026013302
20070102,306.6772026013302
20070103,300.36394282413517
20070104,305.9409118297088
20070105,304.15962352227234
20070106,304.15962352227234
20070107,304.15962352227234
20070108,288.50647887124967
20070109,286.96572655778556
20070110,275.4092274185564
20070111,266.0591580007719
20070112,262.88252585430564
20070113,262.88252585430564
20070114,262.88252585430564
20070115,262.88252585430564
20070116,264.4130642678589
20070117,266.3628973417047
20070118,276.5239227164322
20070119,275.04166696851604
20070120,275.04166696851604
20070121,275.04166696851604
20070122,270.1636485194242
20070123,271.97228053160006
20070124,253.04946098711187
20070125,270.33490598624013
20070126,268.11214316122596
20070127,268.11214316122596
20070128,268.11214316122596
20070129,273.98157973313556
20070130,281.70783447208305
20070131,272.5104123420193
20070201,280.9657829024676
20070202,279.06323771512655
20070203,279.06323771512655
