Date,CRED Holding Co Ltd
20091006,65.20707918954307
20091007,65.20707918954307
20091008,65.20707918954307
20091009,66.31740446592421
20091010,66.31740446592421
20091011,66.31740446592421
20091012,66.35659863490969
20091013,64.94212122410087
20091014,65.6646057668556
20091015,65.7217868849806
20091016,63.591604946652225
20091017,63.591604946652225
20091018,63.591604946652225
20091019,61.849897743710336
20091020,61.549443079554706
20091021,58.62259371001919
20091022,59.1015888892207
20091023,59.92802263512556
20091024,59.92802263512556
20091025,59.92802263512556
20091026,63.80836396884633
20091027,67.36682729951049
20091028,65.1684211050888
20091029,65.44612368520994
20091030,61.825042251041125
20091031,61.825042251041125
20091101,61.388905497518806
20091102,59.63856836065642
20091103,60.24714579943332
20091104,60.15164917604992
20091105,58.6001658809288
20091106,57.5963765948191
20091107,57.5963765948191
20091108,57.5963765948191
20091109,58.516421604809345
20091110,57.90330582270235
20091111,55.43158109100781
20091112,54.66657909252455
20091113,54.19778512448455
20091114,54.19778512448455
20091115,54.19778512448455
20091116,54.60990983597618
20091117,55.149813026724125
20091118,56.70077673154861
20091119,56.163847616833124
20091120,55.79319130251
20091121,55.79319130251
20091122,55.79319130251
20091123,53.356307933026436
20091124,56.05082481713483
20091125,55.38254071803489
20091126,56.34784250206029
20091127,58.613337284164174
20091128,58.613337284164174
20091129,58.613337284164174
20091130,57.97761690438692
20091201,55.96804462921169
20091202,55.80809680884772
20091203,55.85517831178183
20091204,52.961674222434006
20091205,52.961674222434006
20091206,52.961674222434006
20091207,51.451705372759015
20091208,51.27971238319774
20091209,52.59493163842168
20091210,51.626103825746945
20091211,53.12839291588227
20091212,53.12839291588227
20091213,53.12839291588227
20091214,53.898870900995426
20091215,55.44415409047021
20091216,57.44230296536664
20091217,58.460174057296776
20091218,60.58570913520711
20091219,60.58570913520711
20091220,60.58570913520711
20091221,58.819851724073686
20091222,60.4382040458669
20091223,60.72904163663121
20091224,58.922255161662484
20091225,57.98563228622373
20091226,57.98563228622373
20091227,57.98563228622373
20091228,57.563077096308334
20091229,59.59686754906375
20091230,60.23044279162137
20091231,59.02492286132971
20100101,58.607722230288815
20100102,58.607722230288815
